Episode  272 finished with a total reward of -5.0 | Running Average: -5.10
Episode  273 finished with a total reward of 6.0 | Running Average: -5.10
Episode  274 finished with a total reward of -6.0 | Running Average: -3.40
Episode  275 finished with a total reward of -9.0 | Running Average: -3.40
Episode  276 finished with a total reward of -8.0 | Running Average: -4.80
Episode  277 finished with a total reward of -3.0 | Running Average: -5.30
Episode  278 finished with a total reward of 5.0 | Running Average: -5.10
Episode  279 finished with a total reward of -1.0 | Running Average: -4.50
Episode  280 finished with a total reward of -1.0 | Running Average: -2.90
Episode  281 finished with a total reward of -14.0 | Running Average: -3.20
Episode  282 finished with a total reward of 5.0 | Running Average: -3.60
Episode  283 finished with a total reward of -14.0 | Running Average: -2.60
Episode  284 finished with a total reward of -2.0 | Running Average: -4.60
Episode  285 finished with a total reward of -6.0 | Running Average: -4.20
Episode  286 finished with a total reward of 4.0 | Running Average: -3.90
Episode  287 finished with a total reward of -3.0 | Running Average: -2.70
Episode  288 finished with a total reward of -3.0 | Running Average: -2.70
Episode  289 finished with a total reward of -3.0 | Running Average: -3.50
Episode  290 finished with a total reward of -6.0 | Running Average: -3.70
Episode  291 finished with a total reward of -7.0 | Running Average: -4.20
Episode  292 finished with a total reward of -8.0 | Running Average: -3.50
Episode  293 finished with a total reward of -7.0 | Running Average: -4.80
Episode  294 finished with a total reward of -7.0 | Running Average: -4.10
Episode  295 finished with a total reward of -10.0 | Running Average: -4.60
Episode  296 finished with a total reward of -9.0 | Running Average: -5.00
Episode  297 finished with a total reward of -1.0 | Running Average: -6.30
Episode  298 finished with a total reward of -6.0 | Running Average: -6.10
Episode  299 finished with a total reward of -9.0 | Running Average: -6.40
Episode  300 finished with a total reward of 4.0 | Running Average: -7.00
Episode  301 finished with a total reward of 16.0 | Running Average: -6.00
Episode  302 finished with a total reward of -11.0 | Running Average: -3.70
Episode  303 finished with a total reward of 3.0 | Running Average: -4.00
Episode  304 finished with a total reward of -8.0 | Running Average: -3.00
Episode  305 finished with a total reward of 11.0 | Running Average: -3.10
Episode  306 finished with a total reward of -14.0 | Running Average: -1.00
Episode  307 finished with a total reward of 20.0 | Running Average: -1.50
Episode  308 finished with a total reward of -1.0 | Running Average: 0.60
Episode  309 finished with a total reward of 15.0 | Running Average: 1.10
Episode  310 finished with a total reward of 10.0 | Running Average: 3.50
Episode  311 finished with a total reward of 10.0 | Running Average: 4.10
Episode  312 finished with a total reward of 9.0 | Running Average: 3.50
Episode  313 finished with a total reward of 15.0 | Running Average: 5.50
Episode  314 finished with a total reward of 1.0 | Running Average: 6.70
Episode  315 finished with a total reward of -10.0 | Running Average: 7.60
Episode  316 finished with a total reward of -18.0 | Running Average: 5.50
Episode  317 finished with a total reward of 18.0 | Running Average: 5.10
Episode  318 finished with a total reward of 1.0 | Running Average: 4.90
Episode  319 finished with a total reward of 15.0 | Running Average: 5.10
Episode  320 finished with a total reward of -5.0 | Running Average: 5.10
Episode  321 finished with a total reward of -1.0 | Running Average: 3.60
Episode  322 finished with a total reward of 4.0 | Running Average: 2.50
Episode  323 finished with a total reward of 15.0 | Running Average: 2.00
Episode  324 finished with a total reward of 10.0 | Running Average: 2.00
Episode  325 finished with a total reward of 18.0 | Running Average: 2.90
Episode  326 finished with a total reward of 18.0 | Running Average: 5.70
Episode  327 finished with a total reward of 20.0 | Running Average: 9.30
Episode  328 finished with a total reward of 14.0 | Running Average: 9.50
Episode  329 finished with a total reward of 17.0 | Running Average: 10.80
Episode  330 finished with a total reward of 8.0 | Running Average: 11.00
Episode  331 finished with a total reward of 9.0 | Running Average: 12.30
Episode  332 finished with a total reward of 6.0 | Running Average: 13.30
Episode  333 finished with a total reward of 12.0 | Running Average: 13.50
Episode  334 finished with a total reward of 20.0 | Running Average: 13.20
Episode  335 finished with a total reward of 18.0 | Running Average: 14.20
Episode  336 finished with a total reward of -1.0 | Running Average: 14.20
Episode  337 finished with a total reward of 1.0 | Running Average: 12.30
Episode  338 finished with a total reward of 18.0 | Running Average: 10.40
Episode  339 finished with a total reward of 17.0 | Running Average: 10.80
Episode  340 finished with a total reward of 10.0 | Running Average: 10.80
Episode  341 finished with a total reward of 4.0 | Running Average: 11.00
Episode  342 finished with a total reward of 17.0 | Running Average: 10.50
Episode  343 finished with a total reward of 2.0 | Running Average: 11.60
Episode  344 finished with a total reward of 17.0 | Running Average: 10.60
Episode  345 finished with a total reward of 18.0 | Running Average: 10.30
Episode  346 finished with a total reward of 14.0 | Running Average: 10.30
Episode  347 finished with a total reward of 1.0 | Running Average: 11.80
Episode  348 finished with a total reward of 16.0 | Running Average: 11.80
Episode  349 finished with a total reward of 20.0 | Running Average: 11.60
Episode  350 finished with a total reward of 14.0 | Running Average: 11.90
Episode  351 finished with a total reward of 18.0 | Running Average: 12.30
Episode  352 finished with a total reward of 18.0 | Running Average: 13.70
Episode  353 finished with a total reward of 16.0 | Running Average: 13.80
Episode  354 finished with a total reward of -6.0 | Running Average: 15.20
Episode  355 finished with a total reward of -1.0 | Running Average: 12.90
Episode  356 finished with a total reward of -1.0 | Running Average: 11.00
Episode  357 finished with a total reward of 9.0 | Running Average: 9.50
Episode  358 finished with a total reward of -1.0 | Running Average: 10.30
Episode  359 finished with a total reward of 12.0 | Running Average: 8.60
Episode  360 finished with a total reward of 16.0 | Running Average: 7.80
Episode  361 finished with a total reward of 2.0 | Running Average: 8.00
Episode  362 finished with a total reward of 9.0 | Running Average: 6.40
Episode  363 finished with a total reward of 8.0 | Running Average: 5.50
Episode  364 finished with a total reward of 10.0 | Running Average: 4.70
Episode  365 finished with a total reward of 7.0 | Running Average: 6.30
Episode  366 finished with a total reward of 18.0 | Running Average: 7.10
Episode  367 finished with a total reward of -2.0 | Running Average: 9.00
Episode  368 finished with a total reward of 6.0 | Running Average: 7.90
Episode  369 finished with a total reward of 18.0 | Running Average: 8.60
Episode  370 finished with a total reward of 14.0 | Running Average: 9.20
Episode  371 finished with a total reward of 10.0 | Running Average: 9.00
Episode  372 finished with a total reward of -1.0 | Running Average: 9.80
Episode  373 finished with a total reward of 18.0 | Running Average: 8.80
Episode  374 finished with a total reward of 10.0 | Running Average: 9.80
Episode  375 finished with a total reward of 13.0 | Running Average: 9.80
Episode  376 finished with a total reward of 5.0 | Running Average: 10.40
Episode  377 finished with a total reward of -7.0 | Running Average: 9.10
Episode  378 finished with a total reward of 4.0 | Running Average: 8.60
Episode  379 finished with a total reward of 17.0 | Running Average: 8.40
Episode  380 finished with a total reward of 18.0 | Running Average: 8.30
Episode  381 finished with a total reward of 12.0 | Running Average: 8.70
Episode  382 finished with a total reward of 12.0 | Running Average: 8.90
Episode  383 finished with a total reward of 8.0 | Running Average: 10.20
Episode  384 finished with a total reward of 15.0 | Running Average: 9.20
Episode  385 finished with a total reward of 16.0 | Running Average: 9.70
Episode  386 finished with a total reward of 10.0 | Running Average: 10.00
Episode  387 finished with a total reward of 16.0 | Running Average: 10.50
Episode  388 finished with a total reward of 17.0 | Running Average: 12.80
Episode  389 finished with a total reward of 17.0 | Running Average: 14.10
Episode  390 finished with a total reward of 18.0 | Running Average: 14.10
Episode  391 finished with a total reward of 17.0 | Running Average: 14.10
Episode  392 finished with a total reward of 17.0 | Running Average: 14.60
Episode  393 finished with a total reward of 15.0 | Running Average: 15.10
Episode  394 finished with a total reward of 17.0 | Running Average: 15.80
Episode  395 finished with a total reward of 6.0 | Running Average: 16.00
Episode  396 finished with a total reward of -1.0 | Running Average: 15.00
Episode  397 finished with a total reward of 15.0 | Running Average: 13.90
Episode  398 finished with a total reward of 13.0 | Running Average: 13.80
Episode  399 finished with a total reward of -16.0 | Running Average: 13.40
Episode  400 finished with a total reward of 13.0 | Running Average: 10.10
Episode  401 finished with a total reward of 17.0 | Running Average: 9.60
